address	latitude	longitude
          Bovekerkestraat  8680 BOVEKERKE	51.0591641	2.9626501
"""Mâle Voye"" Route de Maastricht 1 4607 BERNEAU"	50.7428132	5.7305147
/  9270 LAARNE	51.029657	3.8504738
0 6870 Saint-Hubert	50.0251428	5.3738561
1 ère Avenue   4040 Herstal	50.66552734	5.63126183
1° Avenue  66 4040 Herstal	50.692458	5.608442
17de Esc. Licht Vliegwezenlaan  14 2490 Balen	51.1825532	5.2124809
17de Escadrille Lichtvliegwe Straat 14 2490 BALEN	51.17127991	5.16817904
1ère Avenue  32 4040 Herstal	50.6901455	5.6179453
1ère Avenue  50 4040 Herstal	50.6907089	5.6129504
1ère Avenue  66 4040 Herstal	50.6923284	5.6078942
2ème avenue  30 4040 Herstal	50.6957402	5.6198481
2ème Avenue 32 4040 Herstal	50.6949407	5.6116072
3910 Neerpelt	51.22923665	5.44275896814348
3de & 23ste Linieregimentsplein  8400 Oostende	51.2231517	2.9257838
3è Avenue 25 4040 Herstal	50.698254	5.617903
4ème Avenue - PI Des Haut Sarts  4040 Herstal	50.697064	5.6236639
4ème Avenue Hauts-Sarts 75 4040 Herstal	50.6949218	5.6060923
4ème rue ZI Jumet) 33 6040 Jumet	50.4385163	4.3999636
9de Linieplein 1 8650 Houthulst	50.953942	2.8555922
A la Cour Marchal 8 6760 VIRTON	49.5670975	5.5364188
A La Paix 1 6747 Saint-Léger	49.5994168	5.6505239
A Warocqué  24 7100 La	50.4774884	4.1908873
A. Algoetstraat  77 1750 Sint-Kwintens-Lennik	50.807534	4.16263
A. Amelotstraat 53 9770 KRUISEM	50.926275	3.532237
A. Dansaertstraat 70 1000 Brussel	50.850215	4.345908
A. De Cockstraat 1 9470 DENDERLEEUW	50.88317215	4.08058625444111
A. Demaeghtlaan  30 1500 Halle	50.74227584	4.22246899
A. Laporte 34 4900 Spa	50.49006	5.85763
A. Ortsstraat  1000 Brussel	50.8486497	4.3491795
A. Pieterslaan 85 8400 Oostende	51.2249884	2.9105739
A. Rodenbachstraat   42 8020 Oostkamp	51.15639	3.244901
A. Sauwenlaan 80 3650 Dilsen	51.0199715	5.7407921
A. Stocletlaan 87 1840 Londerzeel	51.01428855	4.3019869
A. Van Ackersquare  1 8370 Blankenberge	51.318175	3.144692
A. Van Ackersquare 1 8370 Blankenberge	51.318175	3.144692
A. Van Caloenstraat 2 8210 Loppem	51.158809	3.198388
A. van der Pluymstraat 1 2160 Wommelgem	51.2085817	4.5275446
A. Van Dijckstraat 10 2300 Turnhout	51.3144711	4.9384344
A. Van Osslaan 1   1120 NEDER-OVER-HEEMBEEK	50.9087684	4.40444854788136
A. Vaucampslaan  42 1654 Huizingen	50.7529607	4.26320050905683
A.Goffaertstraat  5 9300 Aalst	50.929134	4.03578
A.RODENBACHLAAN  23 9120 Melsele	51.225363	4.2827081
A.Rodenbachstraat 42 8020 Oostkamp	51.15639	3.244901
A.Spinoystraat  2800 Mechelen	51.011428	4.4612427
A.Stocletlaan 23 2570 Duffel	51.0856757	4.490411
A.Stocletlaan 3 2570 Duffel	51.0871201	4.49260641539466
Aachener Str 26 4780 Saint-Vith	50.2840482	6.12699629044865
Aachener Str.  7 4700 Eupen	50.63224615	6.03088143756685
Aachener Strasse   4701 Kettenis	50.6635829	6.063403
Aachener Straße 30 4731 Eynatten	50.69471495	6.0836822491992
Aalbekeplaats   8511 Aalbeke	50.7789143	3.2297017
Aalstersesteenweg 74 9910 Knesselare	51.13882065	3.41283727
Aalstersestraat 142 9280 Wieze	50.9821687	4.0960731
Aan De Engelse hof  3620 LAKEN	50.88919885	5.65600855
