id	type	address	number	postal_code	municipality	province	location	public	available	hours	latitude	longitude
16095	Appareil fixe-Vast apparaat	          Bovekerkestraat  8680 BOVEKERKE	NA	8680	BOVEKERKE	West-Vlaanderen	Naast de voordeur	Oui-Ja	NA	NA	51.0591641	2.9626501
7323	NA	  3910 Neerpelt	NA	3910	Neerpelt	Limburg	NA	NA	NA	NA	NA	NA
7467	NA	 0 6870 Saint-Hubert	0	6870	Saint-Hubert	Luxembourg	NA	NA	NA	NA	NA	NA
12571	Appareil fixe-Vast apparaat	 Avenue Georges Lecointe 50 1180 UKKEL	50	1180	UKKEL	Bruxelles-Brussel	Aan het onthaal	Oui-Ja	NA	NA	NA	NA
16578	Appareil fixe-Vast apparaat	 Culliganlaan 5, 1831 Machelen 5 1831 Machelen	5	1831	Machelen	Vlaams-Brabant	Te PwC Machelen op de 4de verdieping aan de receptie. 	Oui-Ja	Non-Nee	06:00 - 23:00	NA	NA
12317	Appareil fixe-Vast apparaat	 d hautrage  87 7331 Saint-Ghislain ( Baudour )	87	7331	Saint-Ghislain ( Baudour )	Hainaut	Atelier mécanique 	Non-Nee	Non-Nee	lundi au jeudi de 7h30-15h45  vendredi 7h30-15h00	NA	NA
15815	Appareil fixe-Vast apparaat	 du chapitre  3 7080 Frameries	3	7080	Frameries	Hainaut	Bureau d acceuil	Oui-Ja	Non-Nee	selon l horaire d ouverture du centre sportif	NA	NA
328	NA	 Ingelmunstersteenweg 11 8760 Meulebeke	11	8760	Meulebeke	West-Vlaanderen	NA	NA	NA	NA	NA	NA
5798	NA	 Lochtemandweg  57 3550 Heusden-Zolder	57	3550	Heusden-Zolder	Limburg	NA	NA	NA	NA	NA	NA
14713	Appareil fixe-Vast apparaat	 ROUTE DE GEMBLOUX 19 5310 EGHEZEE	19	5310	EGHEZEE	Namur	LOCAL DE LA MAISON DE LA LAICITE DE EGHEZEE	Non-Nee	Non-Nee	VARIABLE selon les jours et selon l occupation du local	NA	NA
