address	latitude_permanence	longitude_permanence
's Herenbaan  2840 Rumst (Reet)	51.1094852	4.3592976
4790 Burg-Reuland (Burg-Reuland)	50.19607735	6.13477667235682
A. Rodenbachstraat  8370 Blankenberge (Blankenberge)	51.3090178	3.124276
Aartrijkestraat  8820 Torhout (Torhout)	51.0724647	3.0995801
Adolf Van Glabbekeplein  8400 Oostende (Oostende)	NA	NA
All√©e de l'Absent  4000 Li√®ge (Li√®ge)	NA	NA
AllÈe de l'Absent  4000 LiËge (LiËge)	50.6527398	5.5793158
Alois Blommaertstraat  2990 Wuustwezel (Wuustwezel)	51.3928005	4.6009126
Alte Aachener Stra√üe  4780 Sankt Vith (Sankt Vith)	NA	NA
Alte Aachener Straﬂe  4780 Sankt Vith (Sankt Vith)	NA	NA
Ambachtsstraat  2400 Mol (Mol)	51.1895677	5.095847
Antwerpsebaan  2040 Antwerpen (Albertdok)	NA	NA
Antwerpsesteenweg  2660 Antwerpen (Hoboken)	51.1821187	4.371354
Atletenstraat  2020 Antwerpen (Antwerpen)	51.1850528	4.3838563
Attenhovenstraat  3400 Landen (Landen)	50.7567993	5.0809704
August Vermeylenlaan  2050 Antwerpen (Antwerpen)	51.2312671	4.3786698
Augustijnslei  2930 Brasschaat (Brasschaat)	51.3008783	4.4869687
Avenue Albert 1er  5000 Namur (Namur)	50.4661747	4.8777058
Avenue Baudouin de Constantinople  7000 Mons (Mons)	50.4537911	3.9590105
Avenue Britsiers  1030 Schaerbeek (Schaerbeek)	50.8691462	4.3850802
Avenue de Barry  7700 Mouscron (Mouscron)	50.7358751	3.2195315
Avenue de F√©camp  7700 Mouscron (Mouscron)	NA	NA
Avenue de FÈcamp  7700 Mouscron (Mouscron)	50.748652	3.2223936
Avenue De Fr√©  1180 Uccle (Uccle)	NA	NA
Avenue De Fr√©;De Fr√©laan  1180 Uccle (Uccle);Ukkel (Ukkel)	NA	NA
Avenue De FrÈ  1180 Uccle (Uccle)	50.8031574	4.3412639
Avenue de Houffalize  6800 Libramont-Chevigny (Libramont)	49.9262312	5.3825562
